시군구,상권_코드_명
강남구,강남 마이스 관광특구
송파구,잠실 관광특구
종로구,종로청계 관광특구
중구,동대문패션타운 관광특구
중구,명동 남대문 북창동 다동 무교동 관광특구
용산구,이태원 관광특구
종로구,종로·청계 관광특구
